Gene ID	TSS ID	Transcript ID	gene name
LH02888	TSS18332	CUFF.8259.1	RP11-867G23.1
LH02889	TSS18334	P1P2	RP11-867G23.2
LH02889	TSS18335	P1P2	RP11-867G23.2
LH02890	TSS18338	ENST00000526951,ENST00000528650	RP11-867G23.4
LH02891	TSS18336	CUFF.8270.1	RP11-867G23.4
LH02892	TSS18340	ENST00000602951	CTD-3074O7.5
LH02893	TSS18339	P1P2	CTD-3074O7.5
LH02894	TSS18341	ENST00000602427	CTD-3074O7.12
LH02895	TSS18344	CUFF.8268.2	-
LH02896	TSS18345	CUFF.8273.1	-
LH02897	TSS18346	CUFF.8275.1	-
LH02898	TSS18347	CUFF.8274.1	-
LH02899	TSS18348	P1P2	-
LH02900	TSS18349	CUFF.8279.1	-
LH02901	TSS18351	CUFF.8290.1	-
LH02902	TSS18352	CUFF.8290.2	-
LH02903	TSS18354	CUFF.8293.1	-
LH02904	TSS18356	CUFF.8294.1	-
LH02905	TSS18357	P1P2	AP003419.11
LH02906	TSS18361	ENST00000535922	AP003419.16
LH02907	TSS18368	ENST00000533311	RP11-655M14.13
LH02908	TSS18370	CUFF.8428.1	-
LH02909	TSS18369	CUFF.8426.1	RP5-903G2.2
LH02910	TSS18379	P1P2	RP5-901A4.1
LH02911	TSS18381	CUFF.8391.1	LINC-C11orf24-1
LH02912	TSS18386	P1P2	-
LH02913	TSS18390	CUFF.8361.1	-
LH02914	TSS18392	ENST00000565199	CTD-2007L18.5
LH02915	TSS18391	CUFF.8362.1	CTD-2007L18.5
LH02916	TSS18405	CUFF.8337.2	-
LH02917	TSS18410	ENST00000562276	RP11-554A11.4
LH02918	TSS18415	CUFF.8342.1	-
LH02919	TSS18418	CUFF.8343.1	RP11-554A11.7
LH02920	TSS18426	CUFF.8355.1,CUFF.8355.2	RP11-554A11.9
LH02921	TSS18427	CUFF.8359.17	-
LH02922	TSS18429	CUFF.8359.6,CUFF.8359.2,CUFF.8359.14	-
LH02923	TSS18438	CUFF.8351.3	-
LH02924	TSS18439	CUFF.8381.2	RP11-211G23.2
LH02925	TSS18451	P1P2	AP000439.3
LH02926	TSS18496	ENST00000524987	ANO1-AS1
LH02927	TSS18502	ENST00000526174,ENST00000527232	RP11-805J14.5
LH02928	TSS18499	CUFF.8417.1	RP11-805J14.5
LH02928	TSS18501	CUFF.8417.5	RP11-805J14.5
LH02929	TSS18509	CUFF.8420.10	-
LH02930	TSS18507	CUFF.8420.11	-
LH02931	TSS18511	ENST00000526017	CTA-797E19.2
LH02932	TSS18512	ENST00000324630	AP000487.4
LH02933	TSS18510	ENST00000528607	AP000487.6
LH02934	TSS18513	CUFF.8455.1	AP000487.5
LH02935	TSS18514	P1P2	AP000487.5
LH02935	TSS18515	P1P2	AP000487.5
LH02936	TSS18517	ENST00000445532	AP001271.3
LH02937	TSS18527	CUFF.8462.1	-
LH02938	TSS18539	CUFF.8498.6	RP11-167J8.3
LH02939	TSS18541	ENST00000532530	RP11-167J8.3
LH02940	TSS18549	CUFF.8477.4	-
LH02941	TSS18550	P1P2	CTD-2313N18.5
LH02941	TSS18551	P1P2	CTD-2313N18.5
LH02942	TSS18553	CUFF.8479.1	-
LH02943	TSS18558	CUFF.8486.1	-
LH02944	TSS18559	CUFF.8485.1	-
LH02945	TSS18562	CUFF.8500.2,CUFF.8500.3	LINC-STARD10-1,-
LH02946	TSS18570	ENST00000400985	RP11-800A3.2
LH02947	TSS18571	CUFF.8511.1	RP11-800A3.4
LH02948	TSS18572	CUFF.8511.2	RP11-800A3.4
LH02949	TSS18575	P1P2	RP11-800A3.7
LH02950	TSS18576	CUFF.8506.1	-
LH02951	TSS18577	ENST00000544674	RP11-809N8.2
LH02952	TSS18581	CUFF.8513.2	-
LH02953	TSS18587	CUFF.8517.1	-
LH02954	TSS18593	CUFF.8538.1	-
LH02955	TSS18596	CUFF.8561.1	CTD-2562J17.2
LH02956	TSS18597	ENST00000530550	CTD-2562J17.2
LH02957	TSS18614	CUFF.8555.1	-
LH02958	TSS18620	ENST00000534354	RP11-535A19.1
LH02959	TSS18628	CUFF.8560.1	-
LH02960	TSS18630	ENST00000529298	CTD-2011F17.2
LH02961	TSS18631	CUFF.8573.1	-
LH02962	TSS18633	ENST00000531538	RP11-619A14.3
LH02963	TSS18641	CUFF.8588.2	-
LH02964	TSS18642	CUFF.8588.3	-
LH02965	TSS18640	CUFF.8588.4	RP11-111M22.4
LH02966	TSS18643	CUFF.8588.5	RP11-111M22.5
LH02967	TSS18644	P1P2	RP11-111M22.3
LH02968	TSS18647	CUFF.8595.3	-
LH02969	TSS18656	ENST00000525328	RP11-672A2.1
LH02970	TSS18663	P1P2	RP11-21L23.3
LH02971	TSS18664	CUFF.8599.1,CUFF.8599.2,CUFF.8599.4	RP11-21L23.2
LH02972	TSS18665	CUFF.8610.1	-
LH02973	TSS18666	CUFF.8610.4	-
LH02974	TSS18667	CUFF.8610.3,CUFF.8610.5	-
LH02975	TSS18688	CUFF.8606.1	-
LH02976	TSS18692	ENST00000530972	RP11-91P24.6
LH02977	TSS18693	P1P2	RP11-452H21.4
LH02978	TSS18748	CUFF.8652.1	-
LH02979	TSS18747	CUFF.8651.1	RP11-718B12.2
LH02980	TSS18749	CUFF.8648.1	-
LH02981	TSS18752	CUFF.8703.1	RAB30-AS1
LH02982	TSS18751	P1P2	RP11-113K21.4
LH02983	TSS18758	ENST00000602322	RP11-727A23.11
LH02984	TSS18754	ENST00000602381	RP11-727A23.5
LH02985	TSS18756	ENST00000530825	RP11-727A23.5
LH02986	TSS18757	P1P2	RP11-727A23.5
LH02987	TSS18755	P1P2	RP11-727A23.5
LH02988	TSS18760	CUFF.8657.1	-
LH02989	TSS18762	ENST00000531414	RP11-90K17.2
LH02990	TSS18763	CUFF.8679.1	-
LH02991	TSS18764	CUFF.8690.1	-
LH02992	TSS18766	ENST00000530126	RP11-12D16.2
LH02993	TSS18768	CUFF.8693.1	-
LH02994	TSS18774	CUFF.8726.2	-
LH02995	TSS18780	ENST00000528660	RP11-736K20.5
LH02996	TSS18781	ENST00000533672	RP11-736K20.5
LH02997	TSS18779	CUFF.8708.1,CUFF.8708.5	RP11-736K20.5
LH02998	TSS18794	CUFF.8711.1	-
LH02999	TSS18803	CUFF.8720.2	-
LH03000	TSS18804	CUFF.8719.1	-
LH03001	TSS18805	CUFF.8729.1	-
LH03002	TSS18835	CUFF.8754.1	-
LH03003	TSS18841	CUFF.8767.4	-
LH03004	TSS18845	CUFF.8763.1	-
LH03005	TSS18851	ENST00000541092	RP11-685N10.1
LH03006	TSS18855	CUFF.8822.4	RP11-867G2.8
LH03007	TSS18857	CUFF.8824.1	RP11-867G2.6
LH03008	TSS18858	CUFF.8825.1,CUFF.8825.2	RP11-867G2.6
LH03009	TSS18859	P1P2	RP11-856F16.2
LH03010	TSS18868	CUFF.8780.1	-
LH03011	TSS18885	P1P2	JRKL-AS1
LH03011	TSS18887	P1P2	JRKL-AS1
LH03012	TSS18906	CUFF.8817.1	-
LH03013	TSS18937	CUFF.8895.9	-
LH03014	TSS18947	CUFF.8834.1	-
LH03015	TSS18956	CUFF.8853.1	-
LH03016	TSS18961	ENST00000526310	RP11-864G5.3
LH03017	TSS18960	CUFF.8861.1	RP11-864G5.3
LH03018	TSS18970	CUFF.8865.1	-
LH03019	TSS18971	CUFF.8865.2	-
LH03020	TSS18984	ENST00000561652	RP11-690D19.3
LH03021	TSS19013	CUFF.8946.1,CUFF.8946.3	RP11-94P11.4
LH03022	TSS19019	P1P2	RP11-677I18.3
LH03023	TSS19024	CUFF.8925.1	-
LH03024	TSS19031	CUFF.8929.1	-
LH03025	TSS19032	ENST00000561746	RP11-819C21.1
LH03026	TSS19036	CUFF.8938.1	-
LH03027	TSS19037	CUFF.8953.3	RP11-144G7.2
LH03028	TSS19042	CUFF.8945.1	-
LH03029	TSS19064	CUFF.8962.1	-
LH03030	TSS19082	CUFF.8980.1	-
LH03031	TSS19083	CUFF.8984.1	-
LH03032	TSS19093	CUFF.8997.1	-
LH03033	TSS19095	CUFF.9002.1	-
LH03034	TSS19122	P1P2	RP11-629G13.1
LH03035	TSS19134	CUFF.9022.1	-
LH03036	TSS19144	CUFF.9063.22	RP11-64D24.4
LH03037	TSS19167	P1P2	LINC00900
LH03038	TSS19204	ENST00000366405	AP006216.11
LH03039	TSS19209	CUFF.9060.1	-
LH03040	TSS19210	CUFF.9057.8	-
LH03041	TSS19211	CUFF.9057.2	-
LH03041	TSS19211	CUFF.9057.4,CUFF.9057.7	-
LH03042	TSS19212	CUFF.9057.3	-
LH03043	TSS19213	CUFF.9061.1	-
LH03044	TSS19235	CUFF.9096.18	-
LH03045	TSS19241	P1P2	RP11-770J1.3
LH03046	TSS19242	P1P2	RP11-770J1.3
LH03047	TSS19249	P1P2	-
LH03048	TSS19252	ENST00000582695	RP11-110I1.12
LH03049	TSS19251	P1P2	RP11-110I1.12
LH03050	TSS19253	ENST00000531087	RP11-110I1.11
LH03051	TSS19255	ENST00000607857	RP11-110I1.14
LH03052	TSS19254	ENST00000607709	RP11-110I1.13
LH03053	TSS19257	CUFF.9134.1	-
LH03054	TSS19259	CUFF.9140.1,CUFF.9140.2,ENST00000501918	RP11-334E6.10
LH03055	TSS19289	P1P2	-
LH03056	TSS19302	CUFF.9165.2	-
LH03057	TSS19305	CUFF.9171.2,CUFF.9171.3	-
LH03058	TSS19307	CUFF.9171.5	-
LH03059	TSS19315	CUFF.9294.1	-
LH03060	TSS19327	CUFF.9286.5	RP11-166D19.1
LH03061	TSS19328	CUFF.9286.1	RP11-166D19.1
LH03062	TSS19332	P1P2	RP11-166D19.1
LH03063	TSS19333	P1P2	RP11-166D19.1
LH03064	TSS19331	P1P2	RP11-166D19.1
LH03065	TSS19330	ENST00000529823	RP11-166D19.1
LH03066	TSS19334	P1P2	RP11-166D19.1
LH03067	TSS19336	ENST00000534297	RP11-166D19.1
LH03068	TSS19338	P1P2	RP11-820L6.1
LH03069	TSS19337	P1P2	RP11-820L6.1
LH03070	TSS19339	P1P2	RP11-820L6.1
LH03070	TSS19341	P1P2	RP11-820L6.1
LH03071	TSS19342	P1P2	RP11-820L6.1
LH03072	TSS19366	CUFF.9203.4	-
LH03073	TSS19382	CUFF.9219.1	-
LH03074	TSS19385	P1P2	RP11-677M14.2
LH03075	TSS19391	TUCPT_00000446	TUCP-CCDC15-1
LH03076	TSS19399	P1P2	STT3A-AS1
LH03077	TSS19400	CUFF.9243.1	-
LH03078	TSS19405	ENST00000564354	RP11-680F20.10
LH03079	TSS19429	ENST00000532866	RP11-50B3.4
LH03080	TSS19433	CUFF.9257.1	-
LH03081	TSS19432	CUFF.9256.1	-
LH03082	TSS19434	ENST00000533378	RP11-712L6.7
LH03083	TSS19435	CUFF.9259.1	-
LH03084	TSS19436	P1P2	DCPS-ASTUCP1
LH03085	TSS19437	CUFF.9260.1	-
LH03086	TSS19442	CUFF.9283.1	RP11-688I9.2
LH03087	TSS19490	CUFF.9316.1	-
LH03088	TSS19509	CUFF.9379.8	-
LH03089	TSS19515	CUFF.9325.1	-
LH03090	TSS19525	CUFF.9373.1	-
LH03091	TSS19542	ENST00000525716	RP11-890B15.3
LH03092	TSS19617	CUFF.9415.1	-
LH03093	TSS19618	CUFF.9417.1	-
LH03094	TSS19620	CUFF.9419.1	-
LH03095	TSS19622	CUFF.9420.2	-
LH03096	TSS19655	CUFF.9459.1	-
LH03097	TSS19656	CUFF.9460.1	-
LH03098	TSS19664	CUFF.9483.1	RP11-283I3.6
LH03099	TSS19666	P1P2	RP11-218M22.1
LH03100	TSS19668	P1P2	RP11-218M22.1
LH03101	TSS19688	CUFF.9511.1	-
LH03102	TSS19689	CUFF.9510.1	-
LH03103	TSS19694	CUFF.9519.4	-
LH03104	TSS19697	CUFF.9521.1	-
LH03105	TSS19698	CUFF.9524.1	-
LH03106	TSS19699	CUFF.9525.1	-
LH03107	TSS19700	CUFF.9527.1	-
LH03108	TSS19701	P1P2	CACNA1C-IT3
LH03109	TSS19704	CUFF.9536.1	-
LH03110	TSS19705	CUFF.9535.1	-
LH03111	TSS19706	CUFF.9537.1	-
LH03112	TSS19707	ENST00000513358	RP11-253E3.3
LH03113	TSS19723	CUFF.9551.1	-
LH03114	TSS19724	CUFF.9551.2	-
LH03115	TSS19738	CUFF.9612.3	RP11-320N7.2
LH03116	TSS19748	CUFF.9618.4	-
LH03117	TSS19751	CUFF.9561.1	-
LH03118	TSS19762	CUFF.9583.1	-
LH03119	TSS19782	ENST00000537192	RP11-1038A11.3
LH03120	TSS19790	CUFF.9645.1	-
LH03121	TSS19815	CUFF.9650.2	-
LH03122	TSS19816	CUFF.9654.1	-
LH03123	TSS19820	ENST00000541888	RP1-102E24.8
LH03124	TSS19821	CUFF.9658.1	-
LH03125	TSS19826	CUFF.9657.1	-
LH03126	TSS19827	P1P2	SCARNA10
LH03127	TSS19828	ENST00000499202	RP5-940J5.8
LH03128	TSS19829	CUFF.9663.1	-
LH03129	TSS19830	P1P2	RP5-940J5.6
LH03130	TSS19831	CUFF.9670.1	-
LH03131	TSS19833	CUFF.9671.1,CUFF.9671.2	-
LH03132	TSS19835	CUFF.9672.3	RP4-761J14.8
LH03133	TSS19843	ENST00000602759	RP4-761J14.9
LH03134	TSS19846	CUFF.9674.1	-
LH03135	TSS19847	CUFF.9679.1	-
LH03136	TSS19848	P1P2	U47924.27
LH03137	TSS19850	ENST00000606112	U47924.30
LH03138	TSS19852	CUFF.9730.3	C1RL-AS1
LH03139	TSS19853	P1P2	C1RL-AS1
LH03140	TSS19854	P1P2	C1RL-AS1
LH03140	TSS19855	P1P2	C1RL-AS1
LH03141	TSS19856	CUFF.9730.17,CUFF.9730.24	C1RL-AS1
LH03142	TSS19857	CUFF.9730.27	C1RL-AS1
LH03143	TSS19858	ENST00000545775	C1RL-AS1
LH03144	TSS19859	ENST00000535078	C1RL-AS1
LH03145	TSS19860	CUFF.9685.1	-
LH03146	TSS19868	P1P2	FAM66C
LH03147	TSS19871	ENST00000420514,ENST00000438689	FAM66C
LH03148	TSS19872	ENST00000540566	FAM66C
LH03149	TSS19873	CUFF.9798.1	RP11-266K4.9
LH03150	TSS19874	CUFF.9798.2	RP11-266K4.9
LH03151	TSS19876	ENST00000304751	RP11-266K4.9
LH03152	TSS19877	ENST00000399866	RP11-266K4.9
LH03153	TSS19880	CUFF.9801.3,ENST00000535746	RP11-90D4.3
LH03154	TSS19886	CUFF.9707.1	-
LH03155	TSS19888	CUFF.9723.1,CUFF.9723.2	RP11-20D14.6
LH03156	TSS19889	CUFF.9725.1	A2ML1-AS2
LH03157	TSS19890	CUFF.9725.2	A2ML1-AS2
LH03158	TSS19892	P1P2	A2M-AS1
LH03159	TSS19893	CUFF.9718.1	-
LH03160	TSS19894	CUFF.9718.2	-
LH03161	TSS19895	CUFF.9719.1	-
LH03162	TSS19898	P1P2	LINC00987
LH03162	TSS19899	P1P2	LINC00987
LH03163	TSS19902	NLT_00001464	LINC-PZP-1
LH03164	TSS19903	CUFF.9745.1	RP13-735L24.1
LH03165	TSS19909	CUFF.9731.1	-
LH03166	TSS19911	CUFF.9733.1	-
LH03167	TSS19912	ENST00000573622	RP11-705C15.5
LH03168	TSS19913	ENST00000537616	RP11-705C15.3
LH03169	TSS19920	CUFF.9740.1	-
LH03170	TSS19921	CUFF.9736.1	-
LH03171	TSS19922	CUFF.9737.1	-
LH03172	TSS19923	ENST00000545258	RP11-290C10.1
LH03173	TSS19929	CUFF.9782.1	RP11-277P12.20
LH03174	TSS19931	P1P2	RP11-277P12.20
LH03174	TSS19932	P1P2	RP11-277P12.20
LH03175	TSS19935	CUFF.9765.1	-
LH03176	TSS19936	CUFF.9762.1	-
LH03177	TSS19937	CUFF.9762.2	-
LH03178	TSS19940	CUFF.9767.1	-
LH03179	TSS19945	CUFF.9772.1	-
LH03180	TSS19952	CUFF.9789.1	-
LH03181	TSS19953	CUFF.9790.1	-
LH03182	TSS19954	CUFF.9773.1	-
LH03183	TSS19955	CUFF.9774.1	-
LH03184	TSS19956	CUFF.9775.1	-
LH03185	TSS19957	CUFF.9776.1	-
LH03186	TSS19958	CUFF.9777.1	-
LH03187	TSS19961	CUFF.9806.1	-
LH03188	TSS19962	CUFF.9807.1	-
LH03189	TSS19963	CUFF.9808.1	-
LH03190	TSS19964	CUFF.9811.1	-
LH03191	TSS19965	CUFF.9813.1	-
LH03192	TSS19967	CUFF.9815.1	-
LH03193	TSS19968	CUFF.9817.1	-
LH03194	TSS19969	CUFF.9820.1	-
LH03195	TSS19978	P1P2	RP11-434C1.1
LH03196	TSS20000	CUFF.9796.1	-
LH03197	TSS20001	CUFF.9823.1	-
LH03198	TSS20002	CUFF.9834.2	RP11-253I19.3
LH03199	TSS20007	ENST00000539988	RP11-180M15.3
LH03200	TSS20010	CUFF.9836.1	-
LH03201	TSS20011	NLT_00001475	LINC-DDX47-1
LH03202	TSS20017	P1P2	RP11-392P7.6
LH03203	TSS20018	CUFF.9866.6	RP11-392P7.6
LH03204	TSS20019	P1P2	RP11-392P7.6
LH03205	TSS20020	P1P2	RP11-392P7.6
LH03206	TSS20023	CUFF.9847.1	-
LH03207	TSS20045	CUFF.9860.1	-
LH03208	TSS20058	P1P2	RP11-174G6.1
LH03209	TSS20069	CUFF.9884.1	-
LH03210	TSS20077	P1P2	RP11-6B19.1
LH03211	TSS20087	CUFF.9909.2	-
LH03212	TSS20090	CUFF.9990.1	RP11-69C13.1
LH03213	TSS20103	CUFF.9997.2	-
LH03214	TSS20148	CUFF.10127.1	-
LH03215	TSS20188	ENST00000540994	RP11-114G22.1
LH03216	TSS20192	CUFF.10012.2	-
LH03217	TSS20193	CUFF.10012.3	-
LH03218	TSS20218	CUFF.10013.1	-
LH03219	TSS20246	CUFF.10109.1	RASSF8-AS1
LH03220	TSS20260	CUFF.10092.1	RP11-283G6.4
LH03221	TSS20270	ENST00000500632	RP11-421F16.3
LH03222	TSS20280	CUFF.10094.1	-
LH03223	TSS20298	CUFF.10117.1	-
LH03224	TSS20308	P1P2	RP11-776A13.1
LH03225	TSS20317	CUFF.10151.2,CUFF.10151.3	LINC00941
LH03226	TSS20319	P1P2	LINC00941
LH03227	TSS20320	P1P2	LINC00941
LH03228	TSS20321	ENST00000551972	LINC00941
LH03229	TSS20330	ENST00000537555	RP11-551L14.6
LH03230	TSS20345	CUFF.10162.1	-
LH03231	TSS20348	CUFF.10170.1	-
LH03232	TSS20354	CUFF.10180.1	-
LH03233	TSS20355	CUFF.10180.2	-
LH03234	TSS20374	CUFF.10321.1	-
LH03235	TSS20386	CUFF.10245.2	RP11-313F23.4
LH03236	TSS20423	P1P2	RP11-396F22.1
LH03237	TSS20431	CUFF.10268.1	-
LH03238	TSS20435	CUFF.10270.1	-
LH03239	TSS20442	CUFF.10287.1	-
LH03240	TSS20444	CUFF.10287.3	-
LH03241	TSS20461	ENST00000547824	RP11-328C8.4
LH03242	TSS20469	CUFF.10311.1	-
LH03243	TSS20503	CUFF.10343.1	-
LH03244	TSS20504	CUFF.10345.1	-
LH03245	TSS20507	CUFF.10344.1	-
LH03246	TSS20511	CUFF.10362.2,CUFF.10362.3	-
LH03247	TSS20513	CUFF.10362.8,CUFF.10362.9	-
LH03247	TSS20514	CUFF.10362.10	-
LH03248	TSS20515	CUFF.10362.12,CUFF.10362.14,CUFF.10362.17,CUFF.10362.18,CUFF.10362.19,CUFF.10362.20,CUFF.10362.21,CUFF.10362.22,CUFF.10362.23,CUFF.10362.24,CUFF.10362.25	-
LH03249	TSS20516	CUFF.10356.1	-
LH03250	TSS20518	CUFF.10356.6	-
LH03251	TSS20523	CUFF.10354.1	-
LH03252	TSS20524	P1P2	RP11-474P2.2
LH03253	TSS20530	P1P2	RP11-96H19.1
LH03253	TSS20531	P1P2	RP11-96H19.1
LH03254	TSS20532	P1P2	RP11-96H19.1
LH03255	TSS20534	ENST00000607353	RP11-446N19.1
LH03256	TSS20555	P1P2	RP11-493L12.5
LH03257	TSS20557	CUFF.10397.1	-
LH03258	TSS20564	P1P2	RP1-90J4.1
LH03259	TSS20572	P1P2	RP1-197B17.3
LH03260	TSS20585	CUFF.10388.1	-
LH03261	TSS20586	CUFF.10389.1	-
LH03262	TSS20587	CUFF.10390.1	-
LH03263	TSS20589	CUFF.10399.4	RP11-89H19.1
LH03264	TSS20590	CUFF.10393.1	-
LH03265	TSS20596	CUFF.10407.1	-
LH03266	TSS20599	CUFF.10408.2	-
LH03267	TSS20605	CUFF.10413.1	-
LH03268	TSS20606	P1P2	RP11-579D7.4
LH03269	TSS20607	P1P2	RP11-579D7.4
LH03270	TSS20612	ENST00000549516	RP11-386G11.3
LH03271	TSS20613	P1P2	RP11-386G11.5
LH03272	TSS20614	CUFF.10453.7	RP11-386G11.5
LH03273	TSS20615	CUFF.10430.1	-
LH03274	TSS20618	CUFF.10434.1	-
LH03275	TSS20622	P1P2	RP11-386G11.10
LH03275	TSS20623	P1P2	RP11-386G11.10
LH03276	TSS20624	P1P2	RP11-386G11.10
LH03277	TSS20625	P1P2	RP11-386G11.10
LH03277	TSS20626	P1P2	RP11-386G11.10
LH03278	TSS20627	CUFF.10450.1	-
LH03279	TSS20629	CUFF.10459.1	-
LH03280	TSS20632	P1P2	BCDIN3D-AS1
LH03281	TSS20640	P1P2	RP11-70F11.8
LH03282	TSS20654	CUFF.10480.1	-
LH03283	TSS20655	P1P2	RP4-605O3.4
LH03284	TSS20657	ENST00000551284	RP3-405J10.4
LH03285	TSS20658	CUFF.10507.3,CUFF.10507.6,CUFF.10507.7	-
LH03286	TSS20661	CUFF.10508.1	-
LH03287	TSS20666	CUFF.10504.1	-
LH03288	TSS20667	CUFF.10499.1	-
LH03289	TSS20669	CUFF.10505.1	-
LH03290	TSS20670	NLT_00001507	SMAGP-AS1
LH03291	TSS20671	CUFF.10509.1	-
LH03292	TSS20672	ENST00000562343	RP11-923I11.6
LH03293	TSS20687	CUFF.10562.4	LINC00592
LH03294	TSS20688	CUFF.10562.5	LINC00592
LH03295	TSS20691	CUFF.10562.8	LINC00592
LH03296	TSS20699	CUFF.10554.1,CUFF.10554.2	-
LH03297	TSS20707	CUFF.10544.1	-
LH03298	TSS20720	ENST00000435621	RP11-983P16.2
LH03299	TSS20727	CUFF.10572.2,CUFF.10572.3	-
LH03300	TSS20728	P1P2	RP11-793H13.3
LH03301	TSS20730	CUFF.10566.1	-
LH03302	TSS20752	P1P2	RP11-834C11.14
LH03303	TSS20753	ENST00000562848	AC012531.25
LH03304	TSS20757	ENST00000504891	RP11-834C11.6
LH03305	TSS20759	P1P2	RP11-834C11.4
LH03306	TSS20765	CUFF.10584.1	RP11-968A15.2
LH03307	TSS20766	P1P2	RP11-968A15.2
LH03308	TSS20767	ENST00000553061	RP11-968A15.8
LH03309	TSS20773	CUFF.10626.4	RP11-753H16.5
LH03310	TSS20800	P1P2	RP11-644F5.11
LH03311	TSS20803	CUFF.10603.1	-
LH03312	TSS20804	CUFF.10601.1	-
LH03313	TSS20808	CUFF.10620.1	-
LH03314	TSS20809	CUFF.10621.1	-
LH03315	TSS20810	P1P2	RP11-977G19.11
LH03316	TSS20811	P1P2	RP11-977G19.12,RP11-977G19.11
LH03317	TSS20813	ENST00000546789	RP11-977G19.12
LH03318	TSS20814	CUFF.10635.1,CUFF.10635.2,CUFF.10635.3,CUFF.10635.4,CUFF.10635.5	-
LH03319	TSS20816	CUFF.10629.1	-
LH03320	TSS20821	CUFF.10646.3	-
LH03321	TSS20833	CUFF.10655.2	-
LH03322	TSS20834	P1P2	-
LH03323	TSS20835	CUFF.10656.1	-
LH03324	TSS20839	ENST00000602802	RP11-571M6.17
LH03325	TSS20840	ENST00000602327	RP11-571M6.18
LH03326	TSS20841	P1P2	RP11-620J15.1
LH03327	TSS20858	CUFF.10756.4	-
LH03328	TSS20859	CUFF.10757.1	-
LH03329	TSS20874	CUFF.10702.1	-
LH03330	TSS20886	CUFF.10787.2	-
LH03331	TSS20902	P1P2	RP11-631N16.2
LH03332	TSS20903	P1P2	RP11-631N16.2
LH03333	TSS20922	CUFF.10733.2	-
LH03334	TSS20929	CUFF.10723.3	-
LH03335	TSS20930	ENST00000541870	RP11-274J7.2
LH03336	TSS20931	CUFF.10767.1	-
LH03337	TSS20932	CUFF.10768.1	-
LH03338	TSS20935	CUFF.10738.2	-
LH03339	TSS20938	ENST00000444853	RP11-338E21.2
LH03340	TSS20951	ENST00000545709	RP11-305O6.3
LH03341	TSS20957	P1P2	RP11-221N13.3
LH03341	TSS20958	P1P2	RP11-221N13.3
LH03342	TSS20959	CUFF.10939.1	RP11-221N13.4
LH03343	TSS20971	CUFF.10780.1	-
LH03344	TSS20972	P1P2	RP11-745O10.2
LH03345	TSS20973	CUFF.10796.1	-
LH03346	TSS21024	ENST00000544710	RP11-611O2.1
LH03347	TSS21036	CUFF.10849.1	-
LH03348	TSS21042	CUFF.10878.3	-
LH03349	TSS21047	ENST00000549261	RP11-956E11.1
LH03350	TSS21053	P1P2	-
LH03351	TSS21059	P1P2	RP11-588H23.3
LH03352	TSS21089	CUFF.10942.1	TRHDE-AS1
LH03353	TSS21157	CUFF.10949.1,CUFF.10949.3,CUFF.10949.4,CUFF.10949.5	RP11-290L1.3
LH03354	TSS21158	P1P2	RP11-290L1.3
LH03355	TSS21159	ENST00000547721	RP11-290L1.2
LH03356	TSS21162	P1P2	RP11-54A9.1
LH03357	TSS21165	CUFF.10986.1	RP11-20E24.1
LH03358	TSS21166	ENST00000551082	RP11-20E24.1
LH03359	TSS21168	CUFF.10955.1	-
LH03360	TSS21169	CUFF.10968.1	-
LH03361	TSS21173	CUFF.10975.1	-
LH03362	TSS21181	ENST00000443873	RP1-34H18.1
LH03363	TSS21186	CUFF.11040.3	RP11-754N21.1
LH03364	TSS21203	CUFF.11024.2	RP11-359M6.1
LH03365	TSS21205	ENST00000552167	RP11-359M6.1
LH03366	TSS21206	P1P2	RP11-530C5.1
LH03367	TSS21207	CUFF.10993.2	RP11-530C5.2
LH03368	TSS21209	P1P2	RP11-84G21.1
LH03369	TSS21213	CUFF.11005.2	-
LH03370	TSS21221	CUFF.11019.7	-
LH03371	TSS21251	CUFF.11051.1	-
LH03372	TSS21275	CUFF.11074.2	-
LH03373	TSS21280	ENST00000602731	RP11-193M21.1
LH03374	TSS21281	P1P2	RP11-408B11.2
LH03374	TSS21282	P1P2	RP11-408B11.2
LH03375	TSS21314	CUFF.11146.1	-
LH03376	TSS21324	CUFF.11150.1	-
LH03377	TSS21343	CUFF.11102.4	RP11-1109F11.3
LH03378	TSS21344	CUFF.11102.6	RP11-1109F11.3
LH03379	TSS21351	ENST00000605233	RP11-734K2.4
LH03380	TSS21354	ENST00000605386	LINC00936
LH03381	TSS21370	P1P2	RP11-753N8.1
LH03382	TSS21393	CUFF.11206.3	-
LH03383	TSS21397	CUFF.11190.1,CUFF.11190.2,CUFF.11190.4	RP11-587P21.2
LH03384	TSS21398	P1P2	RP11-587P21.2
LH03384	TSS21399	P1P2	RP11-1041F24.1
LH03385	TSS21401	CUFF.11190.18	-
LH03386	TSS21402	CUFF.11190.19	-
LH03387	TSS21405	P1P2	RP11-587P21.2
LH03388	TSS21407	CUFF.11141.2	RP11-587P21.3
LH03389	TSS21425	P1P2	RP11-796E2.4
LH03390	TSS21427	P1P2	RP11-796E2.4
LH03391	TSS21458	CUFF.11237.2	RP11-202G11.2
LH03392	TSS21473	CUFF.11165.1	-
LH03393	TSS21476	CUFF.11188.2	RP11-1060G2.1
LH03394	TSS21483	P1P2	-
LH03395	TSS21491	CUFF.11208.2	-
LH03396	TSS21496	CUFF.11223.1,CUFF.11223.2	-
LH03397	TSS21497	CUFF.11231.1	-
LH03398	TSS21499	CUFF.11232.1	-
