Gene ID	TSS ID	Transcript ID	gene name
LH00123	TSS500	P1P2	RP1-43E13.2
LH00124	TSS502	CUFF.555.1	-
LH00125	TSS503	CUFF.559.1	-
LH00126	TSS509	CUFF.573.1	-
LH00127	TSS510	CUFF.569.1	-
LH00128	TSS511	CUFF.590.1	RP11-91K11.2
LH00129	TSS534	TUCPT_00000016,CUFF.641.1	LINC01141-ASTUCP1
LH00130	TSS540	P1P2	RP5-930J4.2
LH00131	TSS542	CUFF.602.1	RP5-930J4.4
LH00132	TSS543	ENST00000413451	RP5-930J4.4
LH00133	TSS544	CUFF.600.1	-
LH00134	TSS545	CUFF.599.1	-
LH00135	TSS548	CUFF.612.1	RP5-1071N3.1
LH00136	TSS568	CUFF.620.2,CUFF.620.3,CUFF.620.4	-
LH00137	TSS570	CUFF.619.2	-
LH00138	TSS571	CUFF.644.2,CUFF.644.3	LINC00339
LH00139	TSS572	P1P2	LINC00339
LH00139	TSS573	P1P2	LINC00339
LH00140	TSS575	ENST00000431803	CDC42-IT1
LH00141	TSS581	CUFF.661.12	-
LH00142	TSS602	P1P2	ZBTB40-IT1
LH00143	TSS611	ENST00000610135	RP1-74M1.3
LH00144	TSS619	CUFF.660.1	-
LH00145	TSS622	CUFF.666.1	-
LH00146	TSS624	P1P2	-
LH00147	TSS630	CUFF.674.1	-
LH00148	TSS631	CUFF.677.1	-
LH00149	TSS633	CUFF.683.2	-
LH00150	TSS634	CUFF.678.1	-
LH00151	TSS636	CUFF.678.3	-
LH00152	TSS660	CUFF.691.2	-
LH00153	TSS661	CUFF.690.1	-
LH00154	TSS662	CUFF.690.2	-
LH00155	TSS672	CUFF.713.1	-
LH00156	TSS702	TUCPT_00000024	C1orf63-ASTUCP1
LH00157	TSS703	ENST00000607698	RP3-465N24.6
LH00158	TSS704	CUFF.741.1	-
LH00159	TSS705	CUFF.763.2	-
LH00160	TSS706	CUFF.764.1	-
LH00161	TSS707	CUFF.745.1	-
LH00162	TSS717	CUFF.756.2	-
LH00163	TSS732	CUFF.777.1	-
LH00164	TSS738	CUFF.793.1	-
LH00165	TSS749	ENST00000448791	RP1-50O24.6
LH00166	TSS767	CUFF.835.2	RP1-159A19.4
LH00167	TSS768	P1P2	RP1-159A19.4
LH00168	TSS770	CUFF.841.2	-
LH00169	TSS785	ENST00000602607	RP3-426I6.5
LH00170	TSS786	ENST00000602843	RP3-426I6.6
LH00171	TSS791	P1P2	SNHG3
LH00171	TSS792	P1P2	SNHG3
LH00172	TSS793	P1P2	RP11-442N24__B.1
LH00173	TSS796	P1P2	RNU11
LH00174	TSS798	P1P2	RP1-212P9.2
LH00175	TSS799	CUFF.848.2	-
LH00176	TSS803	P1P2	RP11-242O24.5
LH00177	TSS805	CUFF.854.1	-
LH00178	TSS806	P1P2	RP11-467D18.2
LH00179	TSS821	CUFF.865.1	-
LH00180	TSS849	P1P2	MATN1-AS1
LH00180	TSS850	P1P2	MATN1-AS1
LH00181	TSS851	ENST00000443076	MATN1-AS1
LH00182	TSS852	CUFF.883.1	-
LH00183	TSS853	CUFF.885.1	-
LH00184	TSS861	CUFF.891.1	-
LH00185	TSS863	NLT_00000046	LINC-NKAIN1-1
LH00186	TSS878	ENST00000609549	RP11-73M7.6
LH00187	TSS883	ENST00000445166	RP11-73M7.6
LH00188	TSS884	ENST00000588288	RP11-73M7.6
LH00189	TSS885	P1P2	-
LH00190	TSS888	P1P2	RP11-84A19.3
LH00191	TSS889	P1P2	RP4-534N18.2
LH00192	TSS891	CUFF.925.1	-
LH00193	TSS893	ENST00000515055	RP4-622L5.2
LH00194	TSS894	CUFF.937.1	-
LH00195	TSS903	CUFF.955.1	-
LH00196	TSS906	CUFF.961.1	-
LH00197	TSS913	CUFF.969.1	-
LH00198	TSS920	CUFF.977.1	-
LH00199	TSS922	ENST00000602618	RP11-415J8.7
LH00200	TSS924	ENST00000587696	RP11-415J8.3
LH00201	TSS925	CUFF.988.6	RP11-415J8.3
LH00202	TSS927	P1P2	RP11-415J8.5
LH00203	TSS936	CUFF.985.1	-
LH00204	TSS946	CUFF.992.1	-
LH00205	TSS965	CUFF.1005.1	RP5-997D16.2
LH00206	TSS966	ENST00000429293	RP5-997D16.2
LH00207	TSS969	CUFF.1008.2	RP11-244H3.1
LH00208	TSS975	CUFF.1016.1	RP11-435D7.3
LH00209	TSS976	ENST00000373226	RP11-435D7.3
LH00210	TSS977	CUFF.1018.1	-
LH00211	TSS982	CUFF.1020.1	-
LH00212	TSS983	CUFF.1029.1,CUFF.1029.2	-
LH00213	TSS984	CUFF.1030.1	-
LH00214	TSS985	CUFF.1028.2	-
LH00215	TSS988	CUFF.1036.1	-
LH00216	TSS991	CUFF.1033.3	-
LH00217	TSS993	CUFF.1031.1,CUFF.1031.2	-
LH00218	TSS1021	CUFF.1043.2	-
LH00219	TSS1022	CUFF.1055.3	-
LH00220	TSS1033	ENST00000419993	RP11-109P14.10
LH00221	TSS1034	CUFF.1063.1	-
LH00222	TSS1038	CUFF.1060.1	-
LH00223	TSS1056	P1P2	RP5-864K19.4
LH00224	TSS1058	CUFF.1079.1	-
LH00225	TSS1059	CUFF.1080.1	-
LH00226	TSS1060	CUFF.1081.1	-
LH00227	TSS1063	CUFF.1090.2,ENST00000415255	RP11-69E11.8
LH00228	TSS1070	CUFF.1087.1	-
LH00229	TSS1075	P1P2	RP1-118J21.25
LH00230	TSS1085	CUFF.1113.1	-
LH00231	TSS1084	ENST00000418255	RP1-118J21.5
LH00232	TSS1095	ENST00000565390	RP1-228H13.5
LH00233	TSS1109	CUFF.1141.1	-
LH00234	TSS1118	CUFF.1189.1	-
LH00235	TSS1120	CUFF.1190.1,CUFF.1190.4	-
LH00236	TSS1125	ENST00000440249	RP11-486B10.3
LH00237	TSS1140	CUFF.1158.1,CUFF.1158.3	-
LH00238	TSS1145	CUFF.1172.1	-
LH00238	TSS1146	CUFF.1173.1	-
LH00239	TSS1147	CUFF.1165.1	RP11-223A3.1
LH00240	TSS1149	ENST00000414339	RP5-994D16.3
LH00241	TSS1151	CUFF.1181.1	-
LH00242	TSS1152	CUFF.1182.1	-
LH00243	TSS1155	P1P2	SLC2A1-AS1
LH00244	TSS1163	CUFF.1200.1	-
LH00245	TSS1164	CUFF.1200.2	-
LH00246	TSS1165	CUFF.1196.1	-
LH00247	TSS1167	CUFF.1220.1	-
LH00248	TSS1168	ENST00000436713	RP1-92O14.6
LH00249	TSS1169	P1P2	HYI-AS1
LH00250	TSS1170	CUFF.1226.3	-
LH00251	TSS1179	CUFF.1219.3	-
LH00252	TSS1182	CUFF.1221.1	-
LH00253	TSS1184	CUFF.1319.2	RP5-1198O20.4
LH00254	TSS1185	CUFF.1319.3	RP5-1198O20.4
LH00255	TSS1186	ENST00000607988	RP5-1198O20.4
LH00256	TSS1188	P1P2	RP5-1198O20.4
LH00257	TSS1189	P1P2	RP5-1198O20.4
LH00257	TSS1191	P1P2	RP5-1198O20.4
LH00258	TSS1192	ENST00000447959	RP5-1198O20.4
LH00259	TSS1195	CUFF.1229.1	-
LH00260	TSS1197	CUFF.1239.1	-
LH00261	TSS1199	CUFF.1254.1	-
LH00262	TSS1200	CUFF.1257.2,CUFF.1257.3,CUFF.1257.4	-
LH00263	TSS1201	CUFF.1258.1	-
LH00264	TSS1203	CUFF.1258.5	-
LH00265	TSS1210	CUFF.1268.1	-
LH00266	TSS1214	ENST00000452785	RP4-533D7.5
LH00267	TSS1219	CUFF.1274.1	LINC00505
LH00268	TSS1220	ENST00000455247	LINC00505
LH00269	TSS1228	P1P2	EFCAB14-AS1
LH00270	TSS1229	CUFF.1295.6	EFCAB14-AS1
LH00271	TSS1237	P1P2	LINC00853
LH00272	TSS1240	P1P2	RP1-18D14.7
LH00273	TSS1242	CUFF.1310.5	RP11-511I2.2
LH00274	TSS1304	CUFF.1324.1	RP5-850O15.4
LH00275	TSS1307	CUFF.1348.1	-
LH00275	TSS1308	CUFF.1348.2	-
LH00276	TSS1315	CUFF.1358.1	-
LH00277	TSS1317	CUFF.1359.1	-
LH00278	TSS1319	P1P2	RP11-275F13.1
LH00279	TSS1323	P1P2	RP11-191G24.1
LH00279	TSS1324	P1P2	RP11-191G24.1
LH00280	TSS1325	ENST00000588291,ENST00000586761	RP4-657D16.3
LH00281	TSS1326	ENST00000591675,CUFF.1399.4	RP4-657D16.3,RP4-657D16.6
LH00282	TSS1329	ENST00000425802	RP11-91A18.4
LH00283	TSS1330	ENST00000428794	TXNDC12-AS1
LH00284	TSS1332	ENST00000606527	RP11-155O18.6
LH00285	TSS1335	CUFF.1396.2	RP11-25O10.2
LH00286	TSS1342	CUFF.1400.1	-
LH00287	TSS1364	P1P2	RP5-1024G6.5
LH00288	TSS1365	CUFF.1408.2	RP4-784A16.1
LH00289	TSS1369	P1P2	RP4-784A16.5
LH00290	TSS1380	CUFF.1416.3	-
LH00291	TSS1384	CUFF.1433.1	RP4-758J24.5
LH00292	TSS1388	CUFF.1424.1	-
LH00293	TSS1389	CUFF.1428.1	-
LH00294	TSS1390	CUFF.1429.1	-
LH00295	TSS1399	CUFF.1436.1	-
LH00296	TSS1402	P1P2	RP11-67L3.5,RP11-67L3.4
LH00297	TSS1413	CUFF.1442.1	-
LH00298	TSS1414	P1P2	-
LH00299	TSS1444	CUFF.1450.1	-
LH00300	TSS1447	CUFF.1449.1	-
LH00301	TSS1495	CUFF.1466.1	-
LH00302	TSS1496	CUFF.1470.1	-
LH00303	TSS1510	P1P2	RP4-794H19.4
LH00303	TSS1511	P1P2	RP4-794H19.4
LH00304	TSS1546	CUFF.1524.2,CUFF.1524.4	-
LH00305	TSS1548	CUFF.1524.12	-
LH00306	TSS1550	CUFF.1524.22	-
LH00307	TSS1555	CUFF.1528.1	-
LH00308	TSS1556	CUFF.1529.1	-
LH00309	TSS1576	ENST00000449140	RP11-335E6.3
LH00310	TSS1577	CUFF.1546.1	RP4-792G4.2
LH00311	TSS1589	CUFF.1611.3	RP4-535B20.1
LH00312	TSS1595	ENST00000429871	RP4-630A11.3
LH00313	TSS1609	CUFF.1604.1	-
LH00314	TSS1623	CUFF.1630.3	-
LH00315	TSS1625	CUFF.1725.4	GNG12-AS1
LH00316	TSS1635	CUFF.1664.11	-
LH00317	TSS1636	CUFF.1664.12	RP4-694A7.2
LH00318	TSS1637	ENST00000425820	RP4-694A7.2
LH00319	TSS1639	P1P2	RP4-694A7.4
LH00320	TSS1646	CUFF.1741.2	-
LH00321	TSS1651	CUFF.1637.1	-
LH00322	TSS1652	CUFF.1637.4	-
LH00323	TSS1654	ENST00000607679	RP11-42O15.3
LH00324	TSS1674	CUFF.1655.4	ZRANB2-AS1
LH00325	TSS1677	ENST00000415780	ZRANB2-AS2
LH00326	TSS1686	ENST00000446438	RP11-82L20.1
LH00327	TSS1751	CUFF.1735.1	-
LH00328	TSS1752	CUFF.1733.1	-
LH00329	TSS1770	CUFF.1829.2,CUFF.1829.1	-
LH00330	TSS1787	CUFF.1780.1	-
LH00331	TSS1805	CUFF.2159.12	RP4-601K24.1
LH00332	TSS1821	CUFF.1865.2,CUFF.1865.5	RP11-475O6.1
LH00333	TSS1822	CUFF.1865.9	-
LH00334	TSS1834	CUFF.1807.1	-
LH00335	TSS1842	CUFF.1819.1	-
LH00336	TSS1848	CUFF.1838.1	-
LH00337	TSS1849	P1P2	RP11-131L23.1
LH00338	TSS1853	ENST00000610230	RP11-131L23.2
LH00339	TSS1911	CUFF.1893.1	-
LH00340	TSS1912	CUFF.1894.1	-
LH00341	TSS1935	TUCPT_00000056	GEMIN8P4-ASTUCP1
LH00342	TSS1940	CUFF.2025.7	-
LH00343	TSS1965	CUFF.1940.1,CUFF.1940.2	-
